slot;category;symbol;rows;first;last;sha256;path
EURUSD;FX;EURUSD;53631;2018-01-01 23:00:00;2026-08-05 22:00:00;e7c75e95b1b7087b09cfe41db979bf6da4bae4e2bd43e8c69c94a8150a4d42e4;C:\dev_EA_MT5\data\v0.21.1\EURUSD.csv
GBPUSD;FX;GBPUSD;53632;2018-01-01 23:00:00;2026-08-05 22:00:00;132023dd60b0669fe7496799d9f3615d277696f8c1637398139bc9a128e79455;C:\dev_EA_MT5\data\v0.21.1\GBPUSD.csv
USDJPY;FX;USDJPY;53633;2018-01-01 23:00:00;2026-08-05 22:00:00;6b0dec0c6a982eac26c774a0683b1064de3b5ea3bc6b4138548195905b159e3c;C:\dev_EA_MT5\data\v0.21.1\USDJPY.csv
USDCHF;FX;USDCHF;53631;2018-01-01 23:00:00;2026-08-05 22:00:00;f06ca062b701236f2d27f40e23e0c1eb48b9d3cfb7a7783ae8bd3f1e56878903;C:\dev_EA_MT5\data\v0.21.1\USDCHF.csv
AUDUSD;FX;AUDUSD;53630;2018-01-01 23:00:00;2026-08-05 22:00:00;960ebd81a769d7c6fe3c343ac6bcade5c87010dd9ffc4d110b43b3c189be7cc5;C:\dev_EA_MT5\data\v0.21.1\AUDUSD.csv
USDCAD;FX;USDCAD;53631;2018-01-01 23:00:00;2026-08-05 22:00:00;677841d4dbf20dd7b8119b587be3474430fd2b4ba50f66ba119fa3cfa9ffd77d;C:\dev_EA_MT5\data\v0.21.1\USDCAD.csv
NZDUSD;FX;NZDUSD;53568;2018-01-01 23:00:00;2026-08-05 22:00:00;2316d93a932240d460a9b7e80bf30cbd121f6b8d696ab3b7bd16a1317718a370;C:\dev_EA_MT5\data\v0.21.1\NZDUSD.csv
EURGBP;FX;EURGBP;53531;2018-01-01 23:00:00;2026-08-05 22:00:00;582bb92c1a93b0f0040b2a543c0fbf2dd0aad76a7d04f8ebbd74171aa7b1f615;C:\dev_EA_MT5\data\v0.21.1\EURGBP.csv
EURJPY;FX;EURJPY;53518;2018-01-01 23:00:00;2026-08-05 22:00:00;ed8036db367b79d9d422d31fc29adbf7981a01ce61f085830d7dd9d361ec6be0;C:\dev_EA_MT5\data\v0.21.1\EURJPY.csv
GBPJPY;FX;GBPJPY;53510;2018-01-01 23:00:00;2026-08-05 22:00:00;cf47e0b1fdf89fdb7416c17c51c48e495a44bc69241212c5d869e19432384c2a;C:\dev_EA_MT5\data\v0.21.1\GBPJPY.csv
AUDJPY;FX;AUDJPY;53630;2018-01-01 23:00:00;2026-08-05 22:00:00;0888acf860e2e6aeab1d3218ac448c8fc8d3663e814d6cc65cf7b39b9b09e78c;C:\dev_EA_MT5\data\v0.21.1\AUDJPY.csv
EURAUD;FX;EURAUD;53522;2018-01-01 23:00:00;2026-08-05 22:00:00;d00d3d21cdb2c4c29322d59da927d3f52c65c94b3710392ce1da968d1c6ba5e5;C:\dev_EA_MT5\data\v0.21.1\EURAUD.csv
EURCHF;FX;EURCHF;53513;2018-01-01 23:00:00;2026-08-05 22:00:00;04b1a4af432f055d7149337d545fbd25a7e774377b196abbc645d85c4eb0acbc;C:\dev_EA_MT5\data\v0.21.1\EURCHF.csv
GBPCHF;FX;GBPCHF;53514;2018-01-01 23:00:00;2026-08-05 22:00:00;5cd9382b0d1fcbe3a57fbb19c41f122d194f03c881afa8d107c78b2411aa003f;C:\dev_EA_MT5\data\v0.21.1\GBPCHF.csv
CADJPY;FX;CADJPY;53516;2018-01-01 23:00:00;2026-08-05 22:00:00;39f21c6ad327bc1dc3a91048d3925f53e8f7e65b8cf5b715e8a856c57a6c9d14;C:\dev_EA_MT5\data\v0.21.1\CADJPY.csv
CHFJPY;FX;CHFJPY;53539;2018-01-01 23:00:00;2026-08-05 22:00:00;3c7b4808afb288791e347c748e11fd2c20ef561c9c15202f1bc71f44dceb50f7;C:\dev_EA_MT5\data\v0.21.1\CHFJPY.csv
XAUUSD;METAL;GOLD;45130;2018-12-18 21:00:00;2026-08-05 22:00:00;2f13bcc3714fdf2856e106e981d927bfb6f284fd812b27a06ebbcfbe6dd0b2f9;C:\dev_EA_MT5\data\v0.21.1\GOLD.csv
XAGUSD;METAL;SILVER;45007;2018-12-18 21:00:00;2026-08-05 22:00:00;b849c34badd5df184cccbc092d38d0981f0c60dfb831139fe498711b8e632a31;C:\dev_EA_MT5\data\v0.21.1\SILVER.csv
US500;INDEX;US_500;37209;2018-01-01 00:00:00;2026-08-05 22:00:00;57126b0552abee063f1d199c74b438b5a5373b0c40a4b18f15fe7ed0c516bd8c;C:\dev_EA_MT5\data\v0.21.1\US_500.csv
NAS100;INDEX;US_TECH100;45003;2018-12-18 21:00:00;2026-08-05 22:00:00;280f8f8f5de6a0204f192877f10865b7d53c4c080c75cf4f7e20e2145a8584fc;C:\dev_EA_MT5\data\v0.21.1\US_TECH100.csv
US30;INDEX;US_30;44929;2018-12-18 21:00:00;2026-08-05 22:00:00;4c08b7104a813d7d80665e08dfb7c7c271d807116e34ef14fcab7e085ae4682b;C:\dev_EA_MT5\data\v0.21.1\US_30.csv
UK100;INDEX;UK_100;19040;2022-09-15 19:00:00;2026-08-05 18:00:00;e1b6ef55ab39e9418287d0cf6bb5ea67dbdb6d81562393e4357b5354c1ee915a;C:\dev_EA_MT5\data\v0.21.1\UK_100.csv
JPN225;INDEX;JAPAN_225;43122;2018-12-20 17:00:00;2026-08-05 21:00:00;e77b104cfb72ab26959b3e1d1d4b255da6b892abe711d883d91662de7fe098fa;C:\dev_EA_MT5\data\v0.21.1\JAPAN_225.csv
