role;category;rank_in_role;symbol
DISCOVERY_PRIMARY;SHARE_US;1;#TEXTRON
DISCOVERY_PRIMARY;SHARE_US;2;#HOMEDEPOT
DISCOVERY_PRIMARY;SHARE_US;3;#AVERYDENNISON
DISCOVERY_PRIMARY;SHARE_US;4;#EVERGY
DISCOVERY_PRIMARY;SHARE_US;5;#TYSONFOODS
DISCOVERY_PRIMARY;SHARE_US;6;#TEVA
DISCOVERY_PRIMARY;SHARE_US;7;#PAPAJOHNS
DISCOVERY_PRIMARY;SHARE_US;8;#FASTENAL
DISCOVERY_RESERVE;SHARE_US;1;#MATTEL
DISCOVERY_RESERVE;SHARE_US;2;#FLOWSERVE
DISCOVERY_RESERVE;SHARE_US;3;#FIRSTENERGY
DISCOVERY_RESERVE;SHARE_US;4;#PFIZER
DISCOVERY_RESERVE;SHARE_US;5;#ALLEGION
DISCOVERY_RESERVE;SHARE_US;6;#GARTNER
DISCOVERY_RESERVE;SHARE_US;7;#AMDOCS
DISCOVERY_RESERVE;SHARE_US;8;#IPGPHOTONICS
VALIDATION_PRIMARY;SHARE_US;1;#BAIDU
VALIDATION_PRIMARY;SHARE_US;2;#JD.COM
VALIDATION_PRIMARY;SHARE_US;3;#WASTEMGMT
VALIDATION_PRIMARY;SHARE_US;4;#HARRISCORP
VALIDATION_PRIMARY;SHARE_US;5;#MICRONTECH
VALIDATION_RESERVE;SHARE_US;1;#VERTEX
VALIDATION_RESERVE;SHARE_US;2;#SIRONA
VALIDATION_RESERVE;SHARE_US;3;#NORTONLIFELOCK
VALIDATION_RESERVE;SHARE_US;4;#MONDELEZ
VALIDATION_RESERVE;SHARE_US;5;#WABTEC
DISCOVERY_PRIMARY;SHARE_EU;1;_ORANGE.FR
DISCOVERY_PRIMARY;SHARE_EU;2;#NUTRIEN.CA
DISCOVERY_PRIMARY;SHARE_EU;3;_POSTEITALIANE.IT
DISCOVERY_PRIMARY;SHARE_EU;4;_AC.FR
DISCOVERY_RESERVE;SHARE_EU;1;_SANOFI
DISCOVERY_RESERVE;SHARE_EU;2;#TDOMINION.CA
DISCOVERY_RESERVE;SHARE_EU;3;_PUMA.DE
DISCOVERY_RESERVE;SHARE_EU;4;_SNAM.IT
VALIDATION_PRIMARY;SHARE_EU;1;_ABNAMRO.AS
VALIDATION_PRIMARY;SHARE_EU;2;_BMW.DE
VALIDATION_RESERVE;SHARE_EU;1;_VK.FR
VALIDATION_RESERVE;SHARE_EU;2;#GREATWESTLIFECO.CA
DISCOVERY_PRIMARY;ETF;1;#TQQQ
DISCOVERY_PRIMARY;ETF;2;#XLF
DISCOVERY_PRIMARY;ETF;3;#IAU
