category;symbol;role_used;rows;first;last;sha256;path
SHARE_US;#TEXTRON;DISCOVERY_PRIMARY;15630;2017-12-29 21:00:00;2026-08-05 18:00:00;b6eff938828b4dae501fd0b481ebb6f38780cf3eef0fe8eb19f5904ff6d54f31;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_TEXTRON.csv
SHARE_US;#HOMEDEPOT;DISCOVERY_PRIMARY;17121;2017-12-29 23:00:00;2026-08-05 18:00:00;6f7b19cc7bfeeed5eedfe42e5a70c8bda97d3f620669af7be30a4cf741fa9fe7;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_HOMEDEPOT.csv
SHARE_US;#AVERYDENNISON;DISCOVERY_PRIMARY;15497;2017-12-29 21:00:00;2026-08-05 18:00:00;0dd2fec72d2e724b6c583808ec4432cea94457ba6956ca5cb9ccd48d8d88e8a2;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_AVERYDENNISON.csv
SHARE_US;#EVERGY;DISCOVERY_PRIMARY;15474;2017-12-29 21:00:00;2026-08-05 18:00:00;ea86d7955e79d4b6cc7ad3109f2abd6786911db91553d6c590b249ec95b5b233;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_EVERGY.csv
SHARE_US;#TYSONFOODS;DISCOVERY_PRIMARY;15822;2017-12-29 21:00:00;2026-08-05 18:00:00;c421b542bb61e819409351e7663dc8a19052bba5529136ce13d7cfe4a5cb1931;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_TYSONFOODS.csv
SHARE_US;#TEVA;DISCOVERY_PRIMARY;13223;2018-12-07 20:00:00;2026-08-05 18:00:00;e196f86385a160c93a98e3116046127f6e2699702c7c6c6b565c69f1b6bc67fb;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_TEVA.csv
SHARE_US;#PAPAJOHNS;DISCOVERY_PRIMARY;15754;2017-12-29 22:00:00;2026-08-05 18:00:00;5db450ef0a298bfd487e8d95bf8b758829fee9a98c38d64c79c2ea93e39fbdc1;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_PAPAJOHNS.csv
SHARE_US;#FASTENAL;DISCOVERY_PRIMARY;15730;2017-12-29 21:00:00;2026-08-05 18:00:00;90075f3768638d34e8cbd694a881f6b8ec51d91b6f7273578693d529d0c22d9b;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_FASTENAL.csv
SHARE_EU;_ORANGE.FR;DISCOVERY_PRIMARY;15755;2019-01-24 16:00:00;2026-08-05 14:00:00;04d50a279f9d5f3bc464f79ebe7c75b77b507213ac3d985639ff56ce6ed40457;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_ORANGE_FR.csv
SHARE_EU;#NUTRIEN.CA;DISCOVERY_PRIMARY;10347;2020-06-16 19:00:00;2026-08-05 18:00:00;b792ab01b7818d22cd0af3375b1fa835c9725b520b68afd7a7a7d904a1f455d0;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_NUTRIEN_CA.csv
SHARE_EU;_POSTEITALIANE.IT;DISCOVERY_PRIMARY;13991;2020-06-11 15:00:00;2026-08-05 14:00:00;8d295de11963e0de937281586ab82e93521081fb0ed9c0d24406ed8aa81e119d;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_POSTEITALIANE_IT.csv
SHARE_EU;_AC.FR;DISCOVERY_PRIMARY;15751;2019-01-24 16:00:00;2026-08-05 14:00:00;fc5ffde7835b1a51a992af828645f236008eb02b3fdc680178707ebcdb86772a;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_AC_FR.csv
ETF;#TQQQ;DISCOVERY_PRIMARY;10762;2020-06-03 19:00:00;2026-08-05 18:00:00;0b39533e38c34e4c04ddd49b6bdcdc5627e7dc51f6e5fae97db65739be2c1852;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_TQQQ.csv
ETF;#XLF;DISCOVERY_PRIMARY;10864;2019-02-07 20:00:00;2026-08-05 18:00:00;b7d9b3dcf9ffc12f04b053fce86cad4882315d3e453a0b2a2d190f6d1848188a;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_XLF.csv
ETF;#EWT;DISCOVERY_PRIMARY;10907;2019-02-01 20:00:00;2026-08-05 18:00:00;8a5858417d60fbce36ddb1dcb6f0acc398c5e3a8db594d11fc48e3945d70ce48;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_EWT.csv
ETF;#SPY;DISCOVERY_RESERVE;10763;2020-06-03 19:00:00;2026-08-05 18:00:00;d6a956098f05b0c8704e358dec525ca3733dfeee9fcc77dc36964d563de28bed;C:\dev_EA_MT5\data\continuous_stage0006_discovery\_SPY.csv
CRYPTO;BCHUSD;DISCOVERY_PRIMARY;66270;2018-12-18 23:00:00;2026-08-05 22:00:00;b70a023dd25b35d73da402220a71ee856726f0e94374cbb60cb987cba88c2728;C:\dev_EA_MT5\data\continuous_stage0006_discovery\BCHUSD.csv
CRYPTO;UNIUSD;DISCOVERY_PRIMARY;47237;2021-03-10 23:00:00;2026-08-05 22:00:00;c9b5034f07b57091e5d11162a77a8ae6e55ea264936242d4a49eb66280779786;C:\dev_EA_MT5\data\continuous_stage0006_discovery\UNIUSD.csv
